uri,name,valence,energy,speechiness,acousticness,instrumentalness,
spotify:track:5yNgdD8E6WruhULb4n2Con,Silent Night - 1999 Remaster,0.14,0.118,0.0328,0.945,6.20E-05,
spotify:track:4UIckjYWJZYYKa7XfZRCuq,I Could Go,0.42,0.829,0.0349,0.19,0,
spotify:track:0pJfsPQesJyCnR5XWZyvj9,This,0.502,0.0929,0.0443,0.95,0.00539,
spotify:track:3U3SzoN0RQIACWibPkeEOG,Reverse - Steve James Remix,0.41,0.826,0.0446,0.0671,0.0385,
spotify:track:11oZczb6eoVlb9eH4Kc86W,Not My Bro,0.135,0.384,0.215,0.209,1.29E-05,
spotify:track:4loctkCAU584n58qHs2gkp,Onyenekwu,0.733,0.882,0.173,0.142,0,
spotify:track:1qpfndAEGm7YIL6HFuuRCM,Eyes of Madness,0.0349,0.808,0.0546,1.10E-05,0.661,
spotify:track:4f579HzRegWQ7jVqqbjVd4,The Way the Cookie Crumbles,0.223,0.755,0.07,0.244,0.00148,
spotify:track:0RN5fZ3SVyT0VhltQxNQx4,If You Think You're Lonely Now,0.653,0.682,0.0615,0.451,7.47E-05,
spotify:track:6Mo7ueMo1M334IEZA70uGY,Trust Me Danny,0.596,0.833,0.0638,0.000472,0.043,
spotify:track:3mqrfe5u8PY39YNwlYME25,Crank It Up,0.962,0.68,0.0456,0.00686,0,
spotify:track:1kGYHnD4aHkQsyVnzyvabM,Low Down,0.556,0.743,0.0311,0.138,0.00104,
spotify:track:0AX0Hhfr6YW2CVsullN1Rf,Sasuke's Destiny (From 'Naruto'),0.287,0.755,0.0381,0.00121,0.928,
spotify:track:3DnLGuX4YU3PGein8vo5Zt,Orfeo et Eurydice: Mélodie for Piano Solo,0.115,0.00506,0.0528,0.995,0.933,
spotify:track:356hzBvxYQaeG0N3Z2fKtB,Sebastian,0.366,0.86,0.0793,0.0951,0.000247,
